vm_name,new_ip,new_nm,new_gw
galvnet_kali_1,10.10.10.121,255.255.255.0,10.10.10.2
,10.10.20.121,255.255.255.0,10.10.20.2
galvnet_centos_1,10.10.10.125,255.255.255.0,10.10.10.2
,10.10.20.135,255.255.255.0,10.10.20.2
,10.10.30.135,255.255.255.0,10.10.30.2
,10.10.50.135,255.255.255.0,10.10.50.2
galvnet_centos6_1,10.10.70.10,255.255.255.0,10.10.70.2
,10.10.71.10,255.255.255.0,10.10.71.2
galvnet_suse12_1,10.10.70.11,255.255.255.0,10.10.70.2
,10.10.71.11,255.255.255.0,10.10.71.2
galvnet_ubunt16_1,10.10.70.12,255.255.255.0,10.10.70.2
,10.10.71.12,255.255.255.0,10.10.71.2
,10.10.72.12,255.255.255.0,10.10.72.2
